Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,186.3859649122807,1198.5827267382392,0.11421181,-0.16071428571428573,-0.16071428571428573,1.0
20000,1.4191017,640.9333333333333,1194.3749001544556,0.01280194,-0.26666666666666666,-0.26666666666666666,1.0
30000,1.4190542,999.0,1194.0526508875378,0.03435228,0.0,0.0,1.0
40000,1.4190679,441.59090909090907,1192.125741454172,0.046511773,-0.2727272727272727,-0.2727272727272727,1.0
50000,1.4189537,999.0,1191.2583378160239,0.06630472,-0.1,-0.1,1.0
60000,1.4186445,421.84,1191.3711924186198,0.022867518,0.2,0.2,1.0
70000,1.4181052,262.8205128205128,1191.37119241862,0.019645108,-0.10256410256410256,-0.10256410256410256,1.0
80000,1.4170951,341.7142857142857,1191.3711924186198,0.039679404,0.10714285714285714,0.10714285714285714,1.0
90000,1.4163522,280.05555555555554,1191.37119241862,0.018341,-0.1388888888888889,-0.1388888888888889,1.0
100000,1.4160216,386.0,1191.3711924186198,0.009187593,-0.12,-0.12,1.0
110000,1.4128414,312.2903225806452,1191.37119241862,-4.38561e-05,0.16129032258064516,0.16129032258064516,1.0
120000,1.4120448,480.45454545454544,1191.37119241862,0.021089794,0.18181818181818182,0.18181818181818182,1.0
130000,1.4111881,346.3448275862069,1191.37119241862,0.045093603,0.10344827586206896,0.10344827586206896,1.0
140000,1.4111519,389.5,1191.3711924186198,-0.006899597,-0.25,-0.25,1.0
150000,1.4113431,479.2857142857143,1191.37119241862,0.040077493,0.2857142857142857,0.2857142857142857,1.0
160000,1.4106842,379.6923076923077,1191.3711924186198,0.047440078,0.23076923076923078,0.23076923076923078,1.0
170000,1.4107318,311.34285714285716,1191.3711924186198,0.034098238,-0.14285714285714285,-0.14285714285714285,1.0
180000,1.4112079,350.17857142857144,1191.3711924186198,0.06347847,0.17857142857142858,0.17857142857142858,1.0
190000,1.4108025,391.625,1191.3711924186198,0.1148859,0.375,0.375,1.0
200000,1.4115753,226.65116279069767,1191.37119241862,0.07531945,0.023255813953488372,0.023255813953488372,1.0
210000,1.4127194,242.28571428571428,1190.9908174082534,0.019793289,0.0,0.0,1.0
220000,1.4131137,329.5,1195.3167865181879,0.07761055,0.25806451612903225,0.25806451612903225,1.0
230000,1.4126854,301.20588235294116,1193.9916376978256,0.03002632,-0.14705882352941177,-0.14705882352941177,1.0
240000,1.4121104,302.4117647058824,1195.0594243905543,0.07438417,0.23529411764705882,0.23529411764705882,1.0
250000,1.4122496,311.3333333333333,1197.3470495197098,0.073433004,0.1,0.1,1.0
260000,1.4141029,292.57142857142856,1198.0356784203009,0.04687115,0.17142857142857143,0.17142857142857143,1.0
270000,1.4140744,226.7111111111111,1204.0313311241953,0.12443098,0.4,0.4,1.0
280000,1.4137555,370.46153846153845,1209.479385393028,0.07652635,0.2692307692307692,0.2692307692307692,1.0
290000,1.414323,365.35714285714283,1209.8457994060657,0.10746739,0.10714285714285714,0.10714285714285714,1.0
300000,1.4150591,457.85714285714283,1209.8234742560865,0.020359473,0.0,0.0,1.0
310000,1.4154271,224.04545454545453,1212.6689323014782,0.049281705,0.25,0.25,1.0
320000,1.4146249,187.33962264150944,1220.218117347721,0.16334487,0.4716981132075472,0.4716981132075472,1.0
330000,1.4132596,167.59016393442624,1231.5560750629902,0.18439749,0.47540983606557374,0.47540983606557374,1.0
340000,1.4134823,179.71428571428572,1239.7501331784463,0.1968015,0.44642857142857145,0.44642857142857145,1.0
350000,1.4136434,183.75,1246.3589844092753,0.21648946,0.38461538461538464,0.38461538461538464,1.0
360000,1.413188,178.72881355932202,1252.8275167282861,0.32116956,0.5932203389830508,0.5932203389830508,1.0
370000,1.413109,167.0,1266.590991153729,0.43431517,0.7857142857142857,0.7857142857142857,1.0
380000,1.4137129,166.21666666666667,1277.1809908405169,0.4386117,0.6666666666666666,0.6666666666666666,1.0
