Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,1.4206408,120.27272727272727,1198.4749693431752,0.48331526,0.6127954208573629,0.6127954208573629,1.0
50000,1.4207066,305.09090909090907,1197.871827331819,0.50698584,3.8897964150616615,3.8897964150616615,1.0
60000,1.4211076,304.38235294117646,1201.7967685683384,0.6000007,4.573487646439496,4.573487646439496,1.0
70000,1.4216915,276.3529411764706,1205.1680406605924,0.6236193,4.227584961582632,4.227584961582632,1.0
80000,1.4221301,240.84444444444443,1204.943683732285,0.6816528,2.927707224422031,2.927707224422031,1.0
90000,1.4222628,298.0,1204.9251490728714,0.7823053,5.0391034801160135,5.0391034801160135,1.0
100000,1.4224629,428.44,1210.2534093932932,0.8649304,7.211413373947144,7.211413373947144,1.0
110000,1.4245938,250.97297297297297,1212.934714809521,0.84314364,4.192891045196636,4.192891045196636,1.0
120000,1.4237716,245.25,1212.9347148095214,0.87938863,4.151697762310505,4.151697762310505,1.0
130000,1.4236383,321.48387096774195,1212.9347148095212,0.9726758,5.3754235159966255,5.3754235159966255,1.0
140000,1.423588,260.4736842105263,1212.934714809521,1.016244,4.92361908053097,4.92361908053097,1.0
150000,1.422921,307.0571428571429,1212.9347148095212,1.0384246,4.872013587398189,4.872013587398189,1.0
160000,1.421293,273.22857142857146,1213.0401297193164,1.0672818,4.884980651310512,4.884980651310512,1.0
170000,1.4217874,283.52941176470586,1218.7130223159015,1.0900731,5.964177119381287,5.964177119381287,1.0
180000,1.4217992,325.5625,1227.435489531193,1.1604483,6.041113466024399,6.041113466024399,1.0
190000,1.4213352,196.58823529411765,1237.1293857489238,1.2081808,4.140691893942216,4.140691893942216,1.0
200000,1.4214145,224.3095238095238,1249.3393293902573,1.2452841,5.198938772791908,5.198938772791908,1.0
210000,1.4236928,153.85507246376812,1261.2071241604835,1.2110298,2.9600242652754853,2.9600242652754853,1.0
220000,1.4235626,162.68421052631578,1272.9361500159682,1.2764534,3.9731365891925075,3.9731365891925075,1.0
230000,1.4233445,186.52830188679246,1285.3728367568392,1.3391163,4.348004530060966,4.348004530060966,1.0
240000,1.4231356,198.36363636363637,1296.370126704722,1.340094,4.146258042075417,4.146258042075417,1.0
250000,1.4226563,114.6875,1308.9020636119053,1.3247534,3.062439462542534,3.062439462542534,1.0
260000,1.4219998,127.98684210526316,1323.8255027850266,1.2789692,3.112846133740325,3.112846133740325,1.0
270000,1.4219354,114.44827586206897,1330.8036755865764,1.212833,2.594155505470846,2.594155505470846,1.0
280000,1.4209654,120.97560975609755,1343.9537776696013,1.3063184,3.1458673462635134,3.1458673462635134,1.0
290000,1.4202759,99.67676767676768,1360.5906502705523,1.3676863,2.8539883066909484,2.8539883066909484,1.0
300000,1.419846,99.2,1382.286786463883,1.3844229,2.9364890491962434,2.9364890491962434,1.0
310000,1.4164445,89.7304347826087,1392.942781362372,1.3289605,2.650093621557409,2.650093621557409,1.0
320000,1.41555,81.65811965811966,1392.9805558701255,1.3317777,2.553820730240877,2.553820730240877,1.0
330000,1.4150997,81.9047619047619,1392.9805558701255,1.3293544,2.5968081494172415,2.5968081494172415,1.0
340000,1.4146355,81.73504273504274,1392.9805558701255,1.3447026,2.676357907697189,2.676357907697189,1.0
350000,1.4131553,81.65254237288136,1392.9805558701255,1.3555816,2.6771145300431685,2.6771145300431685,1.0
360000,1.4142503,81.46875,1398.356424335518,1.4123487,2.7971604816184557,2.7971604816184557,1.0
370000,1.4143647,90.72815533980582,1418.4926736578318,1.5281056,3.122664661840959,3.122664661840959,1.0
380000,1.4131075,81.78571428571429,1437.2797859791365,1.5325121,2.9801980444222442,2.9801980444222442,1.0
390000,1.4112921,81.77777777777777,1454.2572548642988,1.5372084,2.9959603656422007,2.9959603656422007,1.0
400000,1.4096111,81.84920634920636,1468.7308770767509,1.5396769,3.0130291322867078,3.0130291322867078,1.0
410000,1.3972012,81.77777777777777,1477.205950919019,0.52016366,1.2516189902281958,1.2516189902281958,1.0
420000,1.3944082,81.78571428571429,1477.3393450269834,0.2667922,0.8078138237157144,0.8078138237157144,1.0
430000,1.3938462,81.84615384615384,1477.3393450269834,0.27119917,0.8469073762578413,0.8469073762578413,1.0
440000,1.3932356,81.76923076923077,1477.3393450269834,0.26094994,0.8815875142812729,0.8815875142812729,1.0
450000,1.392583,81.78571428571429,1477.3393450269834,0.26048192,0.8948817371336881,0.8948817371336881,1.0
460000,1.3895642,81.84615384615384,1477.3393450269834,0.2638228,0.9109674485261775,0.9109674485261775,1.0
470000,1.3883944,81.78571428571429,1477.3393450269834,0.25479725,0.9266990009418203,0.9266990009418203,1.0
480000,1.3877001,81.76923076923077,1477.3393450269834,0.23187068,0.9393493970235188,0.9393493970235188,1.0
490000,1.3862101,81.84615384615384,1477.3393450269834,0.21104372,0.9545706687879957,0.9545706687879957,1.0
500000,1.3847227,81.78571428571429,1477.3393450269834,0.19821577,0.9558687623867319,0.9558687623867319,1.0
510000,1.3936102,81.76923076923077,1489.6826354973757,1.2313303,2.464857596996402,2.464857596996402,1.0
